approach,species,n_knots,C,class_weight,mean_log_loss,std_log_loss,mean_auc,mean_brier
single_species,Ophioscincus truncatus,4,0.1,,0.4267108893429297,0.031257559976516476,0.7494607691764499,0.13319208920083225
single_species,Ophioscincus truncatus,8,0.5,balanced,0.5248925603576345,0.03675916535944388,0.794207634437581,0.1759023392846782
single_species,Ophioscincus truncatus,6,0.5,balanced,0.5359479679920838,0.03559988051664253,0.7880454106763011,0.18099143739294626
single_species,Ophioscincus truncatus,4,0.5,balanced,0.5617457213934864,0.02654689289031202,0.7713110817162824,0.19172057918524513
single_species,Ophioscincus truncatus,8,0.1,balanced,0.5747964913656023,0.02010176859831232,0.773410201720013,0.1944142037373045
single_species,Ophioscincus truncatus,6,0.1,balanced,0.5812959546525335,0.0192321625211872,0.7679807176741796,0.197416275427521
single_species,Ophioscincus truncatus,4,0.1,balanced,0.60207970301288,0.012709428468104082,0.7568902896618211,0.20639271563675066
single_species,Pseudechis porphyricaus,4,0.5,,0.0971347161867487,0.02809729976804462,0.7991332152823125,0.020643783092209267
single_species,Pseudechis porphyricaus,6,0.5,,0.09739430018459669,0.03022453270883093,0.7662653049618687,0.02062198408382121
single_species,Pseudechis porphyricaus,8,0.5,,0.09818148914852134,0.031151605523981257,0.7280578959856769,0.020666751268247484
single_species,Pseudechis porphyricaus,6,0.1,,0.10150212386552056,0.028086301467273856,0.7631102247479649,0.020891562174253135
single_species,Pseudechis porphyricaus,8,0.1,,0.10152827194330513,0.02831591778661784,0.7285896844586418,0.020888976384982636
single_species,Pseudechis porphyricaus,4,0.1,,0.10176685366446954,0.027585352484723887,0.7903795987441882,0.02091058272333366
single_species,Pseudechis porphyricaus,8,0.5,balanced,0.36923602203321915,0.04563536688105762,0.720929549817727,0.11351124121209213
single_species,Pseudechis porphyricaus,6,0.5,balanced,0.37995252360160203,0.04199226767472403,0.744066063469092,0.11810731977337867
single_species,Pseudechis porphyricaus,4,0.5,balanced,0.4185864164189582,0.032695185202896784,0.7685238092436695,0.13348259513231536
single_species,Pseudechis porphyricaus,8,0.1,balanced,0.4614078040535472,0.03181187023194689,0.7299081692482974,0.14509853285901614
single_species,Pseudechis porphyricaus,6,0.1,balanced,0.47544899855451267,0.02874853123980944,0.7601183569337326,0.15096121488832226
single_species,Pseudechis porphyricaus,4,0.1,balanced,0.5165646756732396,0.021926330881304173,0.8002518702850677,0.1691880493502576
single_species,Saltuarius swaini,4,0.1,,0.06534180352849275,0.032067210696548075,0.46969350611531746,0.011643044961597926
single_species,Saltuarius swaini,6,0.1,,0.06573480064232079,0.032138376339897835,0.34190788196466704,0.011651321985516975
single_species,Saltuarius swaini,8,0.1,,0.06579181613398241,0.032086803670903545,0.34328115899825273,0.011652816691917001
single_species,Saltuarius swaini,4,0.5,,0.06606392817043022,0.03151786382880213,0.4672672781984081,0.01166513454066219
single_species,Saltuarius swaini,6,0.5,,0.0675385772400625,0.031651328163822656,0.3456826344399146,0.01169225746079183
single_species,Saltuarius swaini,8,0.5,,0.06780974149845938,0.0315048040523141,0.3308059114735003,0.011698942499835153
single_species,Saltuarius swaini,8,0.5,balanced,0.35269456771825175,0.03564386084165067,0.32580833818675986,0.1097720875083515
single_species,Saltuarius swaini,6,0.5,balanced,0.38896221481232807,0.04832166179591543,0.3321316249271986,0.12385458865363927
single_species,Saltuarius swaini,4,0.5,balanced,0.45036064930601827,0.04667260489753259,0.4027390312560668,0.1506717912080161
single_species,Saltuarius swaini,8,0.1,balanced,0.46814144481887815,0.029160529123582437,0.3271063871092992,0.1485621310951298
single_species,Saltuarius swaini,6,0.1,balanced,0.4958406084617886,0.03168819251132256,0.3431836051252184,0.16016913313562808
single_species,Saltuarius swaini,4,0.1,balanced,0.5300022897548805,0.023313669944534196,0.45359250630945447,0.17547235319679613
multi_species,ALL,6,0.5,,0.178506586551806,0.01046549449349158,0.8626369329632325,0.050054473891079
multi_species,ALL,8,0.5,,0.17917548109012935,0.010038028263171194,0.8611038211036057,0.05026048722377058
multi_species,ALL,4,0.5,,0.1791807480833783,0.010557592142576086,0.8620354116412219,0.05032160121759832
multi_species,ALL,6,0.1,,0.18465495295698053,0.010596302838277838,0.860253811289817,0.05118247245267264
multi_species,ALL,8,0.1,,0.18485799027937694,0.010264087339525935,0.8591819389899402,0.05123887509668569
multi_species,ALL,4,0.1,,0.18665339443562406,0.010704797611387849,0.8585281131975779,0.05165540085899638
multi_species,ALL,8,0.5,balanced,0.45413005509038556,0.024856813091579073,0.8610347503630376,0.1473279158417692
multi_species,ALL,6,0.5,balanced,0.455708826578382,0.025709038394409026,0.862491087941596,0.14822882792807027
multi_species,ALL,4,0.5,balanced,0.46072353778544495,0.026237892083616158,0.8627132956795887,0.15032046307359795
