model,split_type,use_coords,species,candidate,fold,model__alpha,model__hidden_layer_sizes,model__learning_rate_init,n,positives,log_loss,auc,average_precision,brier,f1,sensitivity,specificity
MLP_single_with_coords,random,True,Cacophis kreftii,23,3,0.01,"(16, 8)",0.01,102,3,0.07273423501451164,0.9595959595959596,0.3194444444444444,0.02376251587667213,0.0,0.0,1.0
MLP_single_with_coords,random,True,Cacophis kreftii,23,4,0.01,"(16, 8)",0.01,103,5,0.25379421469752533,0.8775510204081632,0.19029304029304028,0.057217073850143914,0.0,0.0,0.9897959183673469
MLP_single_with_coords,random,True,Cacophis kreftii,23,5,0.01,"(16, 8)",0.01,102,3,0.12473294132542857,0.9057239057239057,0.18044871794871795,0.040173741368954366,0.0,0.0,0.9595959595959596
MLP_single_with_coords,random,True,Cacophis kreftii,24,1,0.01,"(16, 8)",0.001,103,2,0.0900676603414877,0.8316831683168318,0.07919254658385093,0.02081272291100961,0.0,0.0,1.0
MLP_single_with_coords,random,True,Cacophis kreftii,24,2,0.01,"(16, 8)",0.001,103,3,0.11177627283414504,0.8866666666666667,0.1449346405228758,0.028597817714471868,0.0,0.0,1.0
MLP_single_with_coords,random,True,Cacophis kreftii,24,3,0.01,"(16, 8)",0.001,102,3,0.08674413476453469,0.9393939393939393,0.24074074074074076,0.02567543679897182,0.0,0.0,1.0
MLP_single_with_coords,random,True,Cacophis kreftii,24,4,0.01,"(16, 8)",0.001,103,5,0.16060175795551293,0.9020408163265305,0.22324577383400915,0.04660282294117382,0.0,0.0,1.0
MLP_single_with_coords,random,True,Cacophis kreftii,24,5,0.01,"(16, 8)",0.001,102,3,0.08973798233628306,0.9225589225589226,0.20555555555555557,0.026241794242823798,0.0,0.0,1.0
MLP_single_with_coords,random,True,Cacophis kreftii,25,1,0.1,"(8,)",0.01,103,2,0.07300320072893302,0.9108910891089109,0.14090909090909093,0.019628775856395945,0.0,0.0,1.0
MLP_single_with_coords,random,True,Cacophis kreftii,25,2,0.1,"(8,)",0.01,103,3,0.11389605170516014,0.88,0.1388888888888889,0.0308558225535577,0.0,0.0,1.0
MLP_single_with_coords,random,True,Cacophis kreftii,25,3,0.1,"(8,)",0.01,102,3,0.08621997303021198,0.9528619528619529,0.3611111111111111,0.024573300583756872,0.0,0.0,1.0
MLP_single_with_coords,random,True,Cacophis kreftii,25,4,0.1,"(8,)",0.01,103,5,0.15790903428114392,0.889795918367347,0.20605403884041654,0.04828874290154565,0.0,0.0,1.0
MLP_single_with_coords,random,True,Cacophis kreftii,25,5,0.1,"(8,)",0.01,102,3,0.07846718660502137,0.9730639730639731,0.41111111111111115,0.02287270930304094,0.0,0.0,1.0
MLP_single_with_coords,random,True,Cacophis kreftii,26,1,0.1,"(8,)",0.001,103,2,0.07876984093206063,0.9455445544554456,0.225,0.019102607658548123,0.0,0.0,1.0
MLP_single_with_coords,random,True,Cacophis kreftii,26,2,0.1,"(8,)",0.001,103,3,0.11889794274801181,0.8,0.10936692506459948,0.028743828550157058,0.0,0.0,1.0
MLP_single_with_coords,random,True,Cacophis kreftii,26,3,0.1,"(8,)",0.001,102,3,0.10578718775756704,0.9124579124579125,0.2013888888888889,0.027223658063014567,0.0,0.0,1.0
MLP_single_with_coords,random,True,Cacophis kreftii,26,4,0.1,"(8,)",0.001,103,5,0.1798839249960228,0.7755102040816326,0.21944862155388473,0.04558974452483525,0.0,0.0,1.0
MLP_single_with_coords,random,True,Cacophis kreftii,26,5,0.1,"(8,)",0.001,102,3,0.09348036494040354,0.9562289562289562,0.31746031746031744,0.024821935348414228,0.0,0.0,1.0
MLP_single_with_coords,random,True,Cacophis kreftii,27,1,0.1,"(16,)",0.01,103,2,0.07588855180488102,0.8910891089108911,0.11666666666666667,0.019839046239900404,0.0,0.0,1.0
MLP_single_with_coords,random,True,Cacophis kreftii,27,2,0.1,"(16,)",0.01,103,3,0.11033304220236877,0.8666666666666667,0.13228927934810286,0.0281859191037098,0.0,0.0,1.0
MLP_single_with_coords,random,True,Cacophis kreftii,27,3,0.1,"(16,)",0.01,102,3,0.08703093582581922,0.936026936026936,0.31666666666666665,0.02455531148056616,0.0,0.0,1.0
MLP_single_with_coords,random,True,Cacophis kreftii,27,4,0.1,"(16,)",0.01,103,5,0.15962775690766323,0.8959183673469387,0.2161380724538619,0.04888410417124862,0.0,0.0,1.0
MLP_single_with_coords,random,True,Cacophis kreftii,27,5,0.1,"(16,)",0.01,102,3,0.0853439724532818,0.9427609427609428,0.27136752136752135,0.025609049638213196,0.0,0.0,1.0
MLP_single_with_coords,random,True,Cacophis kreftii,28,1,0.1,"(16,)",0.001,103,2,0.07730341135036747,0.9108910891089109,0.1625,0.01856489716053757,0.0,0.0,1.0
MLP_single_with_coords,random,True,Cacophis kreftii,28,2,0.1,"(16,)",0.001,103,3,0.09647906159410852,0.9266666666666667,0.22086247086247085,0.025968453556852584,0.0,0.0,1.0
MLP_single_with_coords,random,True,Cacophis kreftii,28,3,0.1,"(16,)",0.001,102,3,0.09339624964946432,0.9292929292929293,0.46249999999999997,0.02447453852199799,0.0,0.0,1.0
