model,split_type,use_coords,species,candidate,fold,model__C,model__class_weight,n,positives,log_loss,auc,average_precision,brier,f1,sensitivity,specificity
Logistic_single_no_coords,spatial,False,Ophioscincus truncatus,5,1,1.0,,103,20,0.45363502518736826,0.6813253012048193,0.3944334628018454,0.14272529834046963,0.0,0.0,1.0
Logistic_single_no_coords,spatial,False,Ophioscincus truncatus,5,2,1.0,,102,20,0.48208647162785956,0.6268292682926829,0.3057785830070041,0.15347202712005267,0.0,0.0,1.0
Logistic_single_no_coords,spatial,False,Ophioscincus truncatus,5,3,1.0,,102,20,0.473907004139601,0.6878048780487805,0.3303886727318168,0.1541080186793204,0.0,0.0,0.9390243902439024
Logistic_single_no_coords,spatial,False,Ophioscincus truncatus,5,4,1.0,,102,20,0.4728186783938052,0.6804878048780488,0.34579710040940226,0.1528905853910111,0.08,0.05,0.9512195121951219
Logistic_single_no_coords,spatial,False,Ophioscincus truncatus,5,5,1.0,,104,21,0.4682456938336348,0.7028112449799196,0.3584397002670632,0.15087397181222795,0.08,0.047619047619047616,0.963855421686747
Logistic_single_no_coords,spatial,False,Ophioscincus truncatus,6,1,1.0,balanced,103,20,0.6023954980243763,0.7048192771084338,0.36286665729668166,0.2056562097576708,0.4489795918367347,0.55,0.7831325301204819
Logistic_single_no_coords,spatial,False,Ophioscincus truncatus,6,2,1.0,balanced,102,20,0.6294875377215782,0.6298780487804878,0.2827491759592317,0.21875777786130365,0.375,0.45,0.7682926829268293
Logistic_single_no_coords,spatial,False,Ophioscincus truncatus,6,3,1.0,balanced,102,20,0.6755577259613699,0.6939024390243903,0.31493422229058265,0.2346476686139325,0.39344262295081966,0.6,0.6463414634146342
Logistic_single_no_coords,spatial,False,Ophioscincus truncatus,6,4,1.0,balanced,102,20,0.7045656478674245,0.6878048780487805,0.32261842840404226,0.24847871486180523,0.3880597014925373,0.65,0.5853658536585366
Logistic_single_no_coords,spatial,False,Ophioscincus truncatus,6,5,1.0,balanced,104,21,0.644967707314072,0.7028112449799196,0.33628640662170817,0.22406477024177462,0.4,0.5714285714285714,0.6746987951807228
Logistic_single_no_coords,spatial,False,Ophioscincus truncatus,7,1,10.0,,103,20,0.45354849826342797,0.680722891566265,0.39366423203261464,0.14266472180928513,0.0,0.0,1.0
Logistic_single_no_coords,spatial,False,Ophioscincus truncatus,7,2,10.0,,102,20,0.4821001712739736,0.6286585365853659,0.3172051194335405,0.15340904759305637,0.0,0.0,1.0
Logistic_single_no_coords,spatial,False,Ophioscincus truncatus,7,3,10.0,,102,20,0.4743346208521646,0.6884146341463414,0.3333641558806366,0.15434581673460468,0.0,0.0,0.926829268292683
Logistic_single_no_coords,spatial,False,Ophioscincus truncatus,7,4,10.0,,102,20,0.4732640300936996,0.6792682926829269,0.345064493028882,0.15315206369352855,0.08,0.05,0.9512195121951219
Logistic_single_no_coords,spatial,False,Ophioscincus truncatus,7,5,10.0,,104,21,0.46862485415286115,0.7033849684452095,0.359068729891598,0.15103168465984315,0.08,0.047619047619047616,0.963855421686747
Logistic_single_no_coords,spatial,False,Ophioscincus truncatus,8,1,10.0,balanced,103,20,0.6022205540363363,0.705421686746988,0.3647897342197586,0.20557945995485052,0.4489795918367347,0.55,0.7831325301204819
Logistic_single_no_coords,spatial,False,Ophioscincus truncatus,8,2,10.0,balanced,102,20,0.6292741615450609,0.6304878048780488,0.28342469231962203,0.21867289773694276,0.3673469387755102,0.45,0.7560975609756098
Logistic_single_no_coords,spatial,False,Ophioscincus truncatus,8,3,10.0,balanced,102,20,0.6763633832705777,0.6939024390243903,0.31503619596850296,0.23475059644183005,0.41935483870967744,0.65,0.6463414634146342
Logistic_single_no_coords,spatial,False,Ophioscincus truncatus,8,4,10.0,balanced,102,20,0.7059343823771393,0.6884146341463415,0.3228332633203697,0.24880729988655104,0.3880597014925373,0.65,0.5853658536585366
Logistic_single_no_coords,spatial,False,Ophioscincus truncatus,8,5,10.0,balanced,104,21,0.6453905953004827,0.7016637980493402,0.33546903311083875,0.22414094855427566,0.4,0.5714285714285714,0.6746987951807228
Logistic_single_no_coords,spatial,False,Pseudechis porphyricaus,1,1,0.01,,103,2,0.09558473654698092,0.6188118811881188,0.11333333333333334,0.019029756361400026,0.0,0.0,1.0
Logistic_single_no_coords,spatial,False,Pseudechis porphyricaus,1,2,0.01,,102,2,0.09778659342826805,0.39,0.024448419797257006,0.01928679185318032,0.0,0.0,1.0
Logistic_single_no_coords,spatial,False,Pseudechis porphyricaus,1,3,0.01,,102,2,0.09433947245936461,0.995,0.8333333333333333,0.019114647481486505,0.0,0.0,1.0
Logistic_single_no_coords,spatial,False,Pseudechis porphyricaus,1,4,0.01,,103,3,0.13096127618759384,0.72,0.41265822784810124,0.02824751075094038,0.0,0.0,1.0
Logistic_single_no_coords,spatial,False,Pseudechis porphyricaus,1,5,0.01,,103,3,0.13041841226355644,0.69,0.20078397212543553,0.028224580237754197,0.0,0.0,1.0
Logistic_single_no_coords,spatial,False,Pseudechis porphyricaus,2,1,0.01,balanced,103,2,0.6241491988831929,0.6287128712871287,0.13851351351351351,0.2178374507316668,0.05714285714285714,0.5,0.6831683168316832
Logistic_single_no_coords,spatial,False,Pseudechis porphyricaus,2,2,0.01,balanced,102,2,0.6256280574163898,0.345,0.02185211433971179,0.2197787959675901,0.0,0.0,0.55
Logistic_single_no_coords,spatial,False,Pseudechis porphyricaus,2,3,0.01,balanced,102,2,0.601667241287912,0.98,0.45,0.20815304280069538,0.09523809523809523,1.0,0.62
Logistic_single_no_coords,spatial,False,Pseudechis porphyricaus,2,4,0.01,balanced,103,3,0.5612940748384329,0.7033333333333333,0.1421296296296296,0.1909597351272022,0.11428571428571428,0.6666666666666666,0.7
Logistic_single_no_coords,spatial,False,Pseudechis porphyricaus,2,5,0.01,balanced,103,3,0.5685509300825101,0.7133333333333334,0.2033349925335988,0.19396866639033758,0.06060606060606061,0.3333333333333333,0.71
Logistic_single_no_coords,spatial,False,Pseudechis porphyricaus,3,1,0.1,,103,2,0.09305246376655703,0.6336633663366337,0.1386986301369863,0.018876979693605023,0.0,0.0,1.0
Logistic_single_no_coords,spatial,False,Pseudechis porphyricaus,3,2,0.1,,102,2,0.10396335727636766,0.34,0.021910919540229883,0.019706199634075695,0.0,0.0,1.0
Logistic_single_no_coords,spatial,False,Pseudechis porphyricaus,3,3,0.1,,102,2,0.08358990760477654,0.99,0.5833333333333333,0.018454552380050847,0.0,0.0,1.0
Logistic_single_no_coords,spatial,False,Pseudechis porphyricaus,3,4,0.1,,103,3,0.12434576761704783,0.73,0.45694444444444443,0.027731033998544954,0.0,0.0,1.0
Logistic_single_no_coords,spatial,False,Pseudechis porphyricaus,3,5,0.1,,103,3,0.12148026552363494,0.7033333333333334,0.20222634508348794,0.027676178924553273,0.0,0.0,1.0
Logistic_single_no_coords,spatial,False,Pseudechis porphyricaus,4,1,0.1,balanced,103,2,0.613147648438527,0.6633663366336633,0.09871794871794871,0.2164819620109405,0.0625,0.5,0.7128712871287128
Logistic_single_no_coords,spatial,False,Pseudechis porphyricaus,4,2,0.1,balanced,102,2,0.5531410816305179,0.31,0.02066888242625675,0.19288956365503418,0.0,0.0,0.73
Logistic_single_no_coords,spatial,False,Pseudechis porphyricaus,4,3,0.1,balanced,102,2,0.5628775251625849,0.925,0.1625,0.19925845569211872,0.11428571428571428,1.0,0.69
Logistic_single_no_coords,spatial,False,Pseudechis porphyricaus,4,4,0.1,balanced,103,3,0.5120755048155041,0.7033333333333333,0.12856125356125356,0.1741921685042984,0.13793103448275862,0.6666666666666666,0.76
Logistic_single_no_coords,spatial,False,Pseudechis porphyricaus,4,5,0.1,balanced,103,3,0.4985757356424873,0.7966666666666665,0.16269841269841268,0.17368401147906307,0.06666666666666667,0.3333333333333333,0.74
Logistic_single_no_coords,spatial,False,Pseudechis porphyricaus,5,1,1.0,,103,2,0.09140644007836644,0.6386138613861386,0.1388888888888889,0.01865688652425986,0.0,0.0,1.0
Logistic_single_no_coords,spatial,False,Pseudechis porphyricaus,5,2,1.0,,102,2,0.11747206494270188,0.33,0.021338724168912845,0.02082247812458881,0.0,0.0,1.0
Logistic_single_no_coords,spatial,False,Pseudechis porphyricaus,5,3,1.0,,102,2,0.07019380179282148,0.97,0.325,0.017169789386647483,0.0,0.0,1.0
Logistic_single_no_coords,spatial,False,Pseudechis porphyricaus,5,4,1.0,,103,3,0.11786557025644373,0.75,0.5685425685425685,0.026112721386514888,0.0,0.0,1.0
Logistic_single_no_coords,spatial,False,Pseudechis porphyricaus,5,5,1.0,,103,3,0.11283567062895704,0.7633333333333334,0.15758547008547008,0.026449464058242708,0.0,0.0,1.0
Logistic_single_no_coords,spatial,False,Pseudechis porphyricaus,6,1,1.0,balanced,103,2,0.6581731032876871,0.6831683168316832,0.08809523809523809,0.22297416678163215,0.06060606060606061,0.5,0.7029702970297029
Logistic_single_no_coords,spatial,False,Pseudechis porphyricaus,6,2,1.0,balanced,102,2,0.4952128298033997,0.315,0.020885028949545078,0.16001508124190195,0.0,0.0,0.83
Logistic_single_no_coords,spatial,False,Pseudechis porphyricaus,6,3,1.0,balanced,102,2,0.5746300855692054,0.92,0.15555555555555556,0.19575516516603536,0.12121212121212122,1.0,0.71
Logistic_single_no_coords,spatial,False,Pseudechis porphyricaus,6,4,1.0,balanced,103,3,0.5068597579542056,0.7033333333333333,0.12132034632034633,0.16610288930023115,0.13793103448275862,0.6666666666666666,0.76
Logistic_single_no_coords,spatial,False,Pseudechis porphyricaus,6,5,1.0,balanced,103,3,0.4833994980901395,0.86,0.13477124183006536,0.1625110775135707,0.19047619047619047,0.6666666666666666,0.84
Logistic_single_no_coords,spatial,False,Pseudechis porphyricaus,7,1,10.0,,103,2,0.09313689554004666,0.6237623762376238,0.11351351351351352,0.018958590290751507,0.0,0.0,1.0
Logistic_single_no_coords,spatial,False,Pseudechis porphyricaus,7,2,10.0,,102,2,0.1280574425556521,0.32,0.020995670995670995,0.021789155718931034,0.0,0.0,1.0
Logistic_single_no_coords,spatial,False,Pseudechis porphyricaus,7,3,10.0,,102,2,0.06536163572473375,0.96,0.26666666666666666,0.016679801548745817,0.0,0.0,1.0
Logistic_single_no_coords,spatial,False,Pseudechis porphyricaus,7,4,10.0,,103,3,0.11603798342753222,0.7533333333333334,0.5687134502923976,0.02521422000232529,0.0,0.0,1.0
Logistic_single_no_coords,spatial,False,Pseudechis porphyricaus,7,5,10.0,,103,3,0.11233918012039659,0.7766666666666666,0.16326530612244897,0.026201257190033498,0.0,0.0,1.0
Logistic_single_no_coords,spatial,False,Pseudechis porphyricaus,8,1,10.0,balanced,103,2,0.6844380617874386,0.6782178217821783,0.08782201405152225,0.2252231717760617,0.0625,0.5,0.7128712871287128
Logistic_single_no_coords,spatial,False,Pseudechis porphyricaus,8,2,10.0,balanced,102,2,0.4893011646258281,0.36000000000000004,0.022363465160075327,0.15326286889545057,0.0,0.0,0.83
Logistic_single_no_coords,spatial,False,Pseudechis porphyricaus,8,3,10.0,balanced,102,2,0.584944431623712,0.92,0.15555555555555556,0.19440005283632555,0.125,1.0,0.72
Logistic_single_no_coords,spatial,False,Pseudechis porphyricaus,8,4,10.0,balanced,103,3,0.5075132582081885,0.7033333333333333,0.12132034632034633,0.16448940325473205,0.14285714285714285,0.6666666666666666,0.77
