model,split_type,use_coords,species,candidate,fold,model__C,model__class_weight,n,positives,log_loss,auc,average_precision,brier,f1,sensitivity,specificity
Logistic_single_with_coords,random,True,Ophioscincus truncatus,1,4,0.01,,103,18,0.4301927544844261,0.8156862745098039,0.45574695047325386,0.13429288826078445,0.0,0.0,1.0
Logistic_single_with_coords,random,True,Ophioscincus truncatus,1,5,0.01,,103,18,0.45544185749514693,0.5633986928104575,0.3234639281983727,0.14149194658157743,0.0,0.0,1.0
Logistic_single_with_coords,random,True,Ophioscincus truncatus,2,1,0.01,balanced,102,17,0.6409475801646471,0.7086505190311418,0.2825396404750849,0.22380214788879235,0.3333333333333333,0.47058823529411764,0.7294117647058823
Logistic_single_with_coords,random,True,Ophioscincus truncatus,2,2,0.01,balanced,103,18,0.6510079705879083,0.6843137254901961,0.25885815510328347,0.22838600226533576,0.35555555555555557,0.4444444444444444,0.7764705882352941
Logistic_single_with_coords,random,True,Ophioscincus truncatus,2,3,0.01,balanced,102,17,0.6672938958102472,0.68719723183391,0.2694047886969921,0.2368284858301596,0.3225806451612903,0.5882352941176471,0.5882352941176471
Logistic_single_with_coords,random,True,Ophioscincus truncatus,2,4,0.01,balanced,103,18,0.6582361126642199,0.7967320261437909,0.3985869589102481,0.23252679240489943,0.5,0.8888888888888888,0.6470588235294118
Logistic_single_with_coords,random,True,Ophioscincus truncatus,2,5,0.01,balanced,103,18,0.6139794235985834,0.642483660130719,0.32007376151607536,0.21126332377191323,0.3111111111111111,0.3888888888888889,0.7647058823529411
Logistic_single_with_coords,random,True,Ophioscincus truncatus,3,1,0.1,,102,17,0.4324638837927002,0.6685121107266436,0.2905935954301066,0.13530419475950167,0.0,0.0,0.9647058823529412
Logistic_single_with_coords,random,True,Ophioscincus truncatus,3,2,0.1,,103,18,0.4640353230452528,0.6437908496732025,0.24831184777989052,0.14795752176716964,0.0,0.0,0.9882352941176471
Logistic_single_with_coords,random,True,Ophioscincus truncatus,3,3,0.1,,102,17,0.4234339372235948,0.6934256055363321,0.29212125017015406,0.13308585896702524,0.0,0.0,0.9882352941176471
Logistic_single_with_coords,random,True,Ophioscincus truncatus,3,4,0.1,,103,18,0.3991060897595772,0.8045751633986928,0.47873384762900273,0.12396678530372249,0.10526315789473684,0.05555555555555555,1.0
Logistic_single_with_coords,random,True,Ophioscincus truncatus,3,5,0.1,,103,18,0.4481573672693758,0.615686274509804,0.3250867224999007,0.13830664918159424,0.0,0.0,1.0
Logistic_single_with_coords,random,True,Ophioscincus truncatus,4,1,0.1,balanced,102,17,0.6303094255336659,0.6754325259515571,0.2606386784641918,0.21730152197899383,0.40816326530612246,0.5882352941176471,0.7411764705882353
Logistic_single_with_coords,random,True,Ophioscincus truncatus,4,2,0.1,balanced,103,18,0.6642232421234219,0.6705882352941177,0.2476785737683435,0.22850324567458116,0.2978723404255319,0.3888888888888889,0.7411764705882353
