model,split_type,use_coords,species,candidate,fold,model__class_weight,model__max_depth,model__max_features,model__min_samples_leaf,model__n_estimators,n,positives,log_loss,auc,average_precision,brier,f1,sensitivity,specificity
RF_single_with_coords,random,True,Egernia mcpheei,4,4,balanced,,sqrt,5,500,102,2,0.15926410015756157,0.985,0.7,0.03992712931895491,0.5714285714285714,1.0,0.97
RF_single_with_coords,random,True,Egernia mcpheei,4,5,balanced,,sqrt,5,500,102,1,0.19005815771648396,0.9405940594059407,0.14285714285714285,0.05778154288254781,0.18181818181818182,1.0,0.9108910891089109
RF_single_with_coords,random,True,Egernia mcpheei,5,1,balanced,20.0,sqrt,1,300,103,2,0.12198694347589067,0.7772277227722773,0.06274131274131274,0.03231456310720389,0.0,0.0,0.9900990099009901
RF_single_with_coords,random,True,Egernia mcpheei,5,2,balanced,20.0,sqrt,1,300,103,2,0.056492346318020796,0.9900990099009901,0.75,0.014034088457777781,0.0,0.0,1.0
RF_single_with_coords,random,True,Egernia mcpheei,5,3,balanced,20.0,sqrt,1,300,103,2,0.3129998294888861,0.2623762376237624,0.019417475728155338,0.03296252858737325,0.0,0.0,0.9801980198019802
RF_single_with_coords,random,True,Egernia mcpheei,5,4,balanced,20.0,sqrt,1,300,102,2,0.06107352399075383,0.9924999999999999,0.75,0.013778322440391072,0.0,0.0,1.0
RF_single_with_coords,random,True,Egernia mcpheei,5,5,balanced,20.0,sqrt,1,300,102,1,0.1001011102762382,0.8861386138613861,0.07692307692307693,0.031241938998174287,0.0,0.0,0.9603960396039604
RF_single_with_coords,random,True,Egernia mcpheei,6,1,balanced,20.0,sqrt,1,500,103,2,0.12124332695950846,0.7970297029702971,0.06696428571428571,0.032535883495504854,0.0,0.0,0.9900990099009901
RF_single_with_coords,random,True,Egernia mcpheei,6,2,balanced,20.0,sqrt,1,500,103,2,0.055905288829321775,0.9900990099009901,0.75,0.013759533980932038,0.0,0.0,1.0
RF_single_with_coords,random,True,Egernia mcpheei,6,3,balanced,20.0,sqrt,1,500,103,2,0.31280854073686176,0.2128712871287129,0.019417475728155338,0.03284885436936893,0.0,0.0,0.9801980198019802
RF_single_with_coords,random,True,Egernia mcpheei,6,4,balanced,20.0,sqrt,1,500,102,2,0.06128352284982711,0.99,0.75,0.013974745098323537,0.0,0.0,1.0
RF_single_with_coords,random,True,Egernia mcpheei,6,5,balanced,20.0,sqrt,1,500,102,1,0.09889939482921521,0.8910891089108911,0.08333333333333333,0.03111823529442157,0.0,0.0,0.9603960396039604
RF_single_with_coords,random,True,Egernia mcpheei,7,1,balanced,20.0,sqrt,5,300,103,2,0.1931431337735756,0.7425742574257426,0.06492248062015504,0.054257803502955886,0.0,0.0,0.9405940594059405
RF_single_with_coords,random,True,Egernia mcpheei,7,2,balanced,20.0,sqrt,5,300,103,2,0.14018246781191349,0.9752475247524752,0.6428571428571428,0.03379670664408754,0.4,0.5,0.9801980198019802
RF_single_with_coords,random,True,Egernia mcpheei,7,3,balanced,20.0,sqrt,5,300,103,2,0.16909388900071906,0.5297029702970297,0.02988215488215488,0.043968757441508514,0.0,0.0,0.9702970297029703
RF_single_with_coords,random,True,Egernia mcpheei,7,4,balanced,20.0,sqrt,5,300,102,2,0.1626400139528976,0.98,0.45,0.04101173696699982,0.5,1.0,0.96
RF_single_with_coords,random,True,Egernia mcpheei,7,5,balanced,20.0,sqrt,5,300,102,1,0.1915766752637946,0.9504950495049505,0.16666666666666666,0.05836271390557825,0.18181818181818182,1.0,0.9108910891089109
RF_single_with_coords,random,True,Egernia mcpheei,8,1,balanced,20.0,sqrt,5,500,103,2,0.19132530254974003,0.7425742574257426,0.06492248062015504,0.05387912071884269,0.0,0.0,0.9405940594059405
RF_single_with_coords,random,True,Egernia mcpheei,8,2,balanced,20.0,sqrt,5,500,103,2,0.13941868769951335,0.9801980198019802,0.6666666666666666,0.033707978177148726,0.5,0.5,0.9900990099009901
RF_single_with_coords,random,True,Egernia mcpheei,8,3,balanced,20.0,sqrt,5,500,103,2,0.17492558681725495,0.44059405940594054,0.02513105149552883,0.044099535542436355,0.0,0.0,0.9702970297029703
RF_single_with_coords,random,True,Egernia mcpheei,8,4,balanced,20.0,sqrt,5,500,102,2,0.15926410015756154,0.985,0.7,0.03992712931895488,0.5714285714285714,1.0,0.97
RF_single_with_coords,random,True,Egernia mcpheei,8,5,balanced,20.0,sqrt,5,500,102,1,0.19005815771648402,0.9405940594059407,0.14285714285714285,0.05778154288254781,0.18181818181818182,1.0,0.9108910891089109
RF_single_with_coords,random,True,Eulamprus murrayi,1,1,balanced,,sqrt,1,300,103,0,0.022822523669319052,,,0.005725782093471412,0.0,,0.9902912621359223
RF_single_with_coords,random,True,Eulamprus murrayi,1,2,balanced,,sqrt,1,300,103,1,0.14403733222010248,0.3872549019607843,0.009708737864077669,0.011371501618899684,0.0,0.0,1.0
RF_single_with_coords,random,True,Eulamprus murrayi,1,3,balanced,,sqrt,1,300,102,0,0.018961666950650356,,,0.00305740740809368,0.0,,1.0
RF_single_with_coords,random,True,Eulamprus murrayi,1,4,balanced,,sqrt,1,300,102,0,0.01109914352974535,,,0.001646514161896515,0.0,,1.0
RF_single_with_coords,random,True,Eulamprus murrayi,1,5,balanced,,sqrt,1,300,103,1,0.1439017321503685,0.3970588235294118,0.009708737864077669,0.01053503991449623,0.0,0.0,1.0
RF_single_with_coords,random,True,Eulamprus murrayi,2,1,balanced,,sqrt,1,500,103,0,0.022598168946696345,,,0.005603223301611649,0.0,,0.9902912621359223
