model,split_type,use_coords,species,candidate,fold,model__classifier__C,model__classifier__class_weight,model__splines__n_knots,n,positives,log_loss,auc,average_precision,brier,f1,sensitivity,specificity
GAM_single_no_coords,spatial,False,Coeranoscincus reticulatus,6,1,0.1,balanced,8,102,12,0.5229755126943935,0.8527777777777777,0.39296676727478047,0.17033017011494023,0.4186046511627907,0.75,0.7555555555555555
GAM_single_no_coords,spatial,False,Coeranoscincus reticulatus,6,2,0.1,balanced,8,103,13,0.5820031730401526,0.8452991452991453,0.5160385676303028,0.19756356293242536,0.4230769230769231,0.8461538461538461,0.6888888888888889
GAM_single_no_coords,spatial,False,Coeranoscincus reticulatus,6,3,0.1,balanced,8,103,13,0.49687405666595374,0.8777777777777778,0.5467516511266511,0.15765940795939964,0.5142857142857142,0.6923076923076923,0.8555555555555555
GAM_single_no_coords,spatial,False,Coeranoscincus reticulatus,6,4,0.1,balanced,8,103,13,0.5292358546107677,0.864957264957265,0.5827416864181569,0.1737018284477579,0.4166666666666667,0.7692307692307693,0.7222222222222222
GAM_single_no_coords,spatial,False,Coeranoscincus reticulatus,6,5,0.1,balanced,8,102,13,0.5715669842675344,0.7873811581676751,0.38703036262281365,0.19185299445799417,0.46808510638297873,0.8461538461538461,0.7415730337078652
GAM_single_no_coords,spatial,False,Coeranoscincus reticulatus,7,1,0.5,,4,102,12,0.3005196111624499,0.8601851851851852,0.45064644574418494,0.09023035445292202,0.0,0.0,1.0
GAM_single_no_coords,spatial,False,Coeranoscincus reticulatus,7,2,0.5,,4,103,13,0.3233640104181509,0.8085470085470086,0.4350725627792595,0.09560081430109885,0.0,0.0,1.0
GAM_single_no_coords,spatial,False,Coeranoscincus reticulatus,7,3,0.5,,4,103,13,0.3171437920057267,0.8598290598290599,0.49012538137249106,0.09664607053102946,0.0,0.0,1.0
GAM_single_no_coords,spatial,False,Coeranoscincus reticulatus,7,4,0.5,,4,103,13,0.30701109106534524,0.8555555555555556,0.5073395629204803,0.09318840231038401,0.0,0.0,1.0
GAM_single_no_coords,spatial,False,Coeranoscincus reticulatus,7,5,0.5,,4,102,13,0.34019409930405436,0.7372515125324114,0.3330031904905292,0.10073161406057597,0.0,0.0,1.0
GAM_single_no_coords,spatial,False,Coeranoscincus reticulatus,8,1,0.5,,6,102,12,0.2837470974361549,0.8583333333333334,0.42444843168527385,0.08559943104976368,0.0,0.0,1.0
GAM_single_no_coords,spatial,False,Coeranoscincus reticulatus,8,2,0.5,,6,103,13,0.3029586204661223,0.8376068376068376,0.5004062615320222,0.09004221683679485,0.0,0.0,1.0
GAM_single_no_coords,spatial,False,Coeranoscincus reticulatus,8,3,0.5,,6,103,13,0.2969761271901988,0.8837606837606837,0.5367751945386889,0.09184387641266824,0.0,0.0,1.0
GAM_single_no_coords,spatial,False,Coeranoscincus reticulatus,8,4,0.5,,6,103,13,0.2885111588307468,0.8726495726495725,0.5471973964671071,0.08740715834385261,0.0,0.0,1.0
GAM_single_no_coords,spatial,False,Coeranoscincus reticulatus,8,5,0.5,,6,102,13,0.3221651465427649,0.7882454624027657,0.3806790476729748,0.09530722785966259,0.0,0.0,0.9887640449438202
GAM_single_no_coords,spatial,False,Coeranoscincus reticulatus,9,1,0.5,,8,102,12,0.28194585581149467,0.8564814814814814,0.41309918306740345,0.08514926457446254,0.0,0.0,1.0
GAM_single_no_coords,spatial,False,Coeranoscincus reticulatus,9,2,0.5,,8,103,13,0.29819307488580954,0.847008547008547,0.5115744729852125,0.08885070824207758,0.0,0.0,1.0
GAM_single_no_coords,spatial,False,Coeranoscincus reticulatus,9,3,0.5,,8,103,13,0.2966549738735519,0.8735042735042735,0.5536919726949712,0.09108414190793271,0.0,0.0,1.0
GAM_single_no_coords,spatial,False,Coeranoscincus reticulatus,9,4,0.5,,8,103,13,0.28179201902945583,0.8760683760683761,0.6072056767708942,0.08454383960194947,0.0,0.0,1.0
GAM_single_no_coords,spatial,False,Coeranoscincus reticulatus,9,5,0.5,,8,102,13,0.318314425972292,0.7899740708729472,0.3883861040454447,0.09437962626217096,0.13333333333333333,0.07692307692307693,0.9887640449438202
GAM_single_no_coords,spatial,False,Coeranoscincus reticulatus,10,1,0.5,balanced,4,102,12,0.4925785998550148,0.8490740740740741,0.4316537872458925,0.1618826124557328,0.391304347826087,0.75,0.7222222222222222
GAM_single_no_coords,spatial,False,Coeranoscincus reticulatus,10,2,0.5,balanced,4,103,13,0.5968317236598469,0.8102564102564103,0.43085508086749397,0.20663624451418808,0.4,0.8461538461538461,0.6555555555555556
GAM_single_no_coords,spatial,False,Coeranoscincus reticulatus,10,3,0.5,balanced,4,103,13,0.4677559273269161,0.8897435897435897,0.5499518412326676,0.14837073473037665,0.55,0.8461538461538461,0.8222222222222222
GAM_single_no_coords,spatial,False,Coeranoscincus reticulatus,10,4,0.5,balanced,4,103,13,0.4944960788262704,0.8538461538461538,0.47682623187069156,0.16298240684955057,0.4166666666666667,0.7692307692307693,0.7222222222222222
GAM_single_no_coords,spatial,False,Coeranoscincus reticulatus,10,5,0.5,balanced,4,102,13,0.568084527001902,0.7554019014693172,0.3208654093123309,0.19399945637514468,0.38461538461538464,0.7692307692307693,0.6741573033707865
GAM_single_no_coords,spatial,False,Coeranoscincus reticulatus,11,1,0.5,balanced,6,102,12,0.4766819927094319,0.8490740740740741,0.37848060164236635,0.15593604596608007,0.425531914893617,0.8333333333333334,0.7222222222222222
GAM_single_no_coords,spatial,False,Coeranoscincus reticulatus,11,2,0.5,balanced,6,103,13,0.551549859253696,0.8478632478632478,0.5355228442956638,0.1879457657242329,0.41509433962264153,0.8461538461538461,0.6777777777777778
GAM_single_no_coords,spatial,False,Coeranoscincus reticulatus,11,3,0.5,balanced,6,103,13,0.41202477824796746,0.8982905982905983,0.5841351212341945,0.12594505233050857,0.5945945945945946,0.8461538461538461,0.8555555555555555
GAM_single_no_coords,spatial,False,Coeranoscincus reticulatus,11,4,0.5,balanced,6,103,13,0.46695747643043406,0.8675213675213675,0.5257237107604305,0.15309561349732922,0.4444444444444444,0.7692307692307693,0.7555555555555555
GAM_single_no_coords,spatial,False,Coeranoscincus reticulatus,11,5,0.5,balanced,6,102,13,0.5455814795318867,0.7968885047536733,0.39016636328069176,0.18125764445072964,0.4583333333333333,0.8461538461538461,0.7303370786516854
GAM_single_no_coords,spatial,False,Coeranoscincus reticulatus,12,1,0.5,balanced,8,102,12,0.4717341762674245,0.8555555555555555,0.3936710964458577,0.15353180272962508,0.4444444444444444,0.8333333333333334,0.7444444444444445
GAM_single_no_coords,spatial,False,Coeranoscincus reticulatus,12,2,0.5,balanced,8,103,13,0.540736424441325,0.8487179487179488,0.4947463139978527,0.18296346887201073,0.4074074074074074,0.8461538461538461,0.6666666666666666
GAM_single_no_coords,spatial,False,Coeranoscincus reticulatus,12,3,0.5,balanced,8,103,13,0.40655595271882766,0.8769230769230769,0.5432433282846942,0.1248841028619246,0.5454545454545454,0.6923076923076923,0.8777777777777778
GAM_single_no_coords,spatial,False,Coeranoscincus reticulatus,12,4,0.5,balanced,8,103,13,0.4616429180214208,0.8735042735042735,0.5847187735147601,0.1510732088913368,0.46511627906976744,0.7692307692307693,0.7777777777777778
